"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.0009,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.78148,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.18761,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.4006,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.23988,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.52433,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.82499,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.98913,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.09952,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.23804,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.56307,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.89655,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-01",100.092,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-02",100.2643,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-03",100.5795,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-04",100.9383,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-05",101.2673,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-06",101.4489,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-07",101.2522,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-08",100.96,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-09",100.6271,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.0979,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-11",99.58498,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.31747,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-01",99.05771,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-02",98.57095,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.94286,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-04",97.51756,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-05",97.35631,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-06",97.14291,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-07",96.93704,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.62232,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.32883,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.41573,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.7829,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2022-12",97.27499,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.73295,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-02",98.16612,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2023-03",98.40978,
