"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,4.130457,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,3.943117,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,3.281895,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,2.492633,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,2.168246,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,2.407539,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,2.50651,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,2.603102,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,2.468302,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,2.282627,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,2.05843,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,2.072092,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,2.228363,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,2.477484,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,3.149284,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,3.816652,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,4.341898,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,4.45129,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,4.558786,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,4.47072,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-09","Sep-2021","PC","Percentage","0","Units",,,4.615936,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-10","Oct-2021","PC","Percentage","0","Units",,,5.230425,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,5.857093,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,6.143224,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,6.484174,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,6.797764,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-03","Mar-2022","PC","Percentage","0","Units",,,7.897258,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-04","Apr-2022","PC","Percentage","0","Units",,,8.51021,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-05","May-2022","PC","Percentage","0","Units",,,8.848766,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-06","Jun-2022","PC","Percentage","0","Units",,,9.241706,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-07","Jul-2022","PC","Percentage","0","Units",,,9.208693,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-08","Aug-2022","PC","Percentage","0","Units",,,9.189961,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-09","Sep-2022","PC","Percentage","0","Units",,,9.508656,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-10","Oct-2022","PC","Percentage","0","Units",,,9.444175,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-11","Nov-2022","PC","Percentage","0","Units",,,8.999818,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2022-12","Dec-2022","PC","Percentage","0","Units",,,8.492246,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-01","Jan-2023","PC","Percentage","0","Units",,,8.432507,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-02","Feb-2023","PC","Percentage","0","Units",,,8.022408,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-03","Mar-2023","PC","Percentage","0","Units",,,6.92627,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-04","Apr-2023","PC","Percentage","0","Units",,,6.465403,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-05","May-2023","PC","Percentage","0","Units",,,5.919306,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-06","Jun-2023","PC","Percentage","0","Units",,,5.498328,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-07","Jul-2023","PC","Percentage","0","Units",,,5.814337,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-08","Aug-2023","PC","Percentage","0","Units",,,6.285203,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-09","Sep-2023","PC","Percentage","0","Units",,,6.084887,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-10","Oct-2023","PC","Percentage","0","Units",,,5.691761,,
"G-20","G20","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","M","Monthly","2023-11","Nov-2023","PC","Percentage","0","Units",,,5.783826,,
