,Business_Confidence,Consumer_Confidence,Inflation,BTC/USD_Volatility_Index
2010-08-16,,,,12.056916784369625
2010-08-17,,,,12.057903314351034
2010-08-18,,,,12.096541886838729
2010-08-19,,,,12.02375054317694
2010-08-20,,,,11.967746673676658
2010-08-21,,,,8.399562820441425
2010-08-22,,,,7.411640228266374
2010-08-23,,,,6.905042716956262
2010-08-24,,,,6.736586421418084
2010-08-25,,,,6.485921902
2010-08-26,,,,6.369550008218304
2010-08-27,,,,6.363334096029931
2010-08-28,,,,5.488814528235903
2010-08-29,,,,5.102484208342816
2010-08-30,,,,4.871547206510918
2010-08-31,,,,4.453858277011945
2010-09-01,,,,4.696198826346687
2010-09-02,,,,4.777295912772677
2010-09-03,,,,4.668328023190433
2010-09-04,,,,4.568142143265809
2010-09-05,,,,4.573899297103419
2010-09-06,,,,4.46086322496812
2010-09-07,,,,4.422872645084191
2010-09-08,,,,3.302207484995366
2010-09-09,,,,3.321079225409398
2010-09-10,,,,3.23997378359613
2010-09-11,,,,3.126021564804075
2010-09-12,,,,2.8102070752857524
2010-09-13,,,,2.7809280936900773
2010-09-14,,,,2.7576496261541306
2010-09-15,,,,2.7562635464531997
2010-09-16,,,,2.456326089554746
2010-09-17,,,,2.471340837185461
2010-09-18,,,,2.592334437990408
2010-09-19,,,,2.6687647583774488
2010-09-20,,,,2.7106350128910246
2010-09-21,,,,2.7133595713564467
2010-09-22,,,,2.706565484719298
2010-09-23,,,,2.708932128
2010-09-24,,,,2.709364685489151
2010-09-25,,,,2.701019346703504
2010-09-26,,,,2.682514646641636
2010-09-27,,,,2.6721317535714904
2010-09-28,,,,2.6733431534869347
2010-09-29,,,,2.6551602781872914
2010-09-30,,,,2.186129011426231
2010-10-01,,,,1.9980629138225463
2010-10-02,,,,1.991938561389348
2010-10-03,,,,1.8517212475099143
2010-10-04,,,,1.7948140066496536
2010-10-05,,,,1.7806945660237463
2010-10-06,,,,1.7810068227756783
2010-10-07,,,,1.8190699727931332
2010-10-08,,,,2.1558498576505976
2010-10-09,,,,5.2222950193531394
2010-10-10,,,,5.356761216129359
2010-10-11,,,,5.354860976389265
2010-10-12,,,,5.302548358727759
2010-10-13,,,,5.3105819489092525
2010-10-14,,,,5.534585174942626
2010-10-15,,,,5.542957656811143
2010-10-16,,,,5.545430531
2010-10-17,,,,5.508925915137227
2010-10-18,,,,5.503652729766338
2010-10-19,,,,5.506130914593746
2010-10-20,,,,5.643278718479658
2010-10-21,,,,5.642901626379597
2010-10-22,,,,5.737710354062524
2010-10-23,,,,5.843868377732741
2010-10-24,,,,5.836282343048695
2010-10-25,,,,5.954076884818532
2010-10-26,,,,6.317247786167029
2010-10-27,,,,6.58559195
2010-10-28,,,,7.444990272170596
2010-10-29,,,,7.739602020757482
2010-10-30,,,,7.780378098065098
2010-10-31,,,,7.748407780115777
2010-11-01,,,,7.812771413576744
2010-11-02,,,,7.780619348836422
2010-11-03,,,,7.804069251
2010-11-04,,,,7.81381372
2010-11-05,,,,8.198226069
2010-11-06,,,,8.318118750991042
2010-11-07,,,,9.931492892
2010-11-08,,,,10.517117475856814
2010-11-09,,,,12.67020982107579
2010-11-10,,,,13.06939901157531
2010-11-11,,,,13.203194224641909
2010-11-12,,,,13.273350545768364
2010-11-13,,,,13.54521877
2010-11-14,,,,13.545256725063055
2010-11-15,,,,13.482014529704172
2010-11-16,,,,13.545896681217211
2010-11-17,,,,14.131581911796944
2010-11-18,,,,14.045430166929732
2010-11-19,,,,14.227327611028516
2010-11-20,,,,14.204513037011337
2010-11-21,,,,14.136601329877855
2010-11-22,,,,14.176220356030544
2010-11-23,,,,14.140351622230792
2010-11-24,,,,14.016934519054663
2010-11-25,,,,13.881123788433031
2010-11-26,,,,13.343648120112231
2010-11-27,,,,13.218617886520663
2010-11-28,,,,13.142390494028678
2010-11-29,,,,13.17453601368041
2010-11-30,,,,13.534414354919672
2010-12-01,,,,13.672784517467656
2010-12-02,,,,13.764331533520233
2010-12-03,,,,13.909248743923689
2010-12-04,,,,13.545771167771305
2010-12-05,,,,13.864100883422914
2010-12-06,,,,11.396814351158492
2010-12-07,,,,11.319222512629178
2010-12-08,,,,9.865808699581674
2010-12-09,,,,9.474195563608886
2010-12-10,,,,9.716705622585144
2010-12-11,,,,9.641625842912935
2010-12-12,,,,9.222084674369766
2010-12-13,,,,9.214140616123055
2010-12-14,,,,9.258644586726543
2010-12-15,,,,9.344401452638124
2010-12-16,,,,8.697510412126274
2010-12-17,,,,8.726104242
2010-12-18,,,,8.268153767350244
2010-12-19,,,,8.217701384226842
2010-12-20,,,,8.212143690110357
2010-12-21,,,,8.462172461192917
2010-12-22,,,,8.644281131789933
2010-12-23,,,,8.685160167777505
2010-12-24,,,,8.685160167777505
2010-12-25,,,,8.684608039
2010-12-26,,,,8.679390502
2010-12-27,,,,8.758150415
2010-12-28,,,,8.715751036986493
2010-12-29,,,,8.213892156
2010-12-30,,,,8.021166290756417
2010-12-31,,,,7.888798190259716
2011-01-01,,,,7.628868355923331
2011-01-02,,,,7.619066718241668
2011-01-03,,,,6.477655040251573
2011-01-04,,,,6.276994686356217
2011-01-05,,,,6.184156333509943
2011-01-06,,,,5.741787803046273
2011-01-07,,,,5.737440997886621
2011-01-08,,,,4.624463416976694
2011-01-09,,,,4.625802870244833
2011-01-10,,,,4.252396344991424
2011-01-11,,,,4.152424046698272
2011-01-12,,,,4.1176651529900585
2011-01-13,,,,4.011957249690334
2011-01-14,,,,3.927455501445233
2011-01-15,,,,5.645247799064361
2011-01-16,,,,5.627301071261086
2011-01-17,,,,5.6290544678608985
2011-01-18,,,,6.031109881820207
2011-01-19,,,,6.173869476147667
2011-01-20,,,,5.787931082222428
2011-01-21,,,,6.972450999993361
2011-01-22,,,,7.048945088887475
2011-01-23,,,,7.066026712728482
2011-01-24,,,,7.076997541378679
2011-01-25,,,,7.157929211769853
2011-01-26,,,,7.190462322489866
2011-01-27,,,,7.141739601
2011-01-28,,,,7.071939985686085
2011-01-29,,,,7.117783292985272
2011-01-30,,,,7.134678884831621
2011-01-31,,,,7.266671954715516
2011-02-01,,,,7.355044610435159
2011-02-02,,,,8.948902397183382
2011-02-03,,,,8.944557228813894
2011-02-04,,,,9.015122975
2011-02-05,,,,9.319888865885574
2011-02-06,,,,9.451855394516492
2011-02-07,,,,9.502065206
2011-02-08,,,,9.518983741145666
2011-02-09,,,,9.508332317505024
2011-02-10,,,,9.808513766470789
2011-02-11,,,,10.117577595911944
2011-02-12,,,,10.12267995595618
2011-02-13,,,,9.461341160789235
2011-02-14,,,,9.442449953880365
2011-02-15,,,,9.426980747928738
2011-02-16,,,,9.119775319181567
2011-02-17,,,,8.708445209935975
2011-02-18,,,,8.717073293135282
2011-02-19,,,,8.687507278453035
2011-02-20,,,,8.658728324819394
2011-02-21,,,,9.009669246365066
2011-02-22,,,,9.028381697
2011-02-23,,,,8.921076109113256
2011-02-24,,,,8.872082890015621
2011-02-25,,,,8.979407645694447
2011-02-26,,,,9.249520280053249
2011-02-27,,,,9.242143566311414
2011-02-28,,,,9.397406272
2011-03-01,,,,9.373220299709931
2011-03-02,,,,9.347247995278302
2011-03-03,,,,7.675749459016647
2011-03-04,,,,7.674530907794449
2011-03-05,,,,7.684514506738036
2011-03-06,,,,7.104781860919887
2011-03-07,,,,6.708492187724356
2011-03-08,,,,6.702856938553596
2011-03-09,,,,6.707284854641333
2011-03-10,,,,6.679918524
2011-03-11,,,,5.992076954445426
2011-03-12,,,,5.767008448212535
2011-03-13,,,,5.568951360901278
2011-03-14,,,,5.577461655742535
2011-03-15,,,,5.564337505173912
2011-03-16,,,,5.559353966656725
