"Date","Price","Open","High","Low","Vol.","Change %"
"19/01/2024","41,280.5","41,293.8","41,543.6","40,752.8","75.85K","-0.03%"
"18/01/2024","41,292.7","42,763.5","42,908.0","40,682.6","70.35K","-3.45%"
"17/01/2024","42,768.7","43,139.1","43,192.3","42,211.8","50.44K","-0.87%"
"16/01/2024","43,145.5","42,515.2","43,563.7","42,093.1","63.93K","1.49%"
"15/01/2024","42,510.7","41,747.6","43,348.9","41,719.2","52.08K","1.83%"
"14/01/2024","41,746.1","42,851.3","43,069.4","41,739.6","37.14K","-2.58%"
"13/01/2024","42,851.3","42,836.7","43,248.6","42,443.3","48.18K","0.04%"
"12/01/2024","42,835.9","46,348.1","46,503.2","41,857.9","136.92K","-7.58%"
"11/01/2024","46,348.2","46,629.3","48,923.7","45,651.8","131.04K","-0.60%"
"10/01/2024","46,629.3","46,112.0","47,654.3","44,403.6","131.48K","1.08%"
"09/01/2024","46,129.0","46,959.2","47,880.1","45,333.9","100.09K","-1.77%"
"08/01/2024","46,962.2","43,934.2","47,196.7","43,251.0","103.09K","6.91%"
"07/01/2024","43,927.3","43,973.5","44,481.2","43,627.9","29.53K","-0.09%"
"06/01/2024","43,967.9","44,156.6","44,203.2","43,424.0","24.26K","-0.43%"
"05/01/2024","44,156.9","44,163.0","44,312.1","42,629.0","68.07K","0.00%"
"04/01/2024","44,157.0","42,836.1","44,744.5","42,632.8","68.05K","3.08%"
"03/01/2024","42,836.1","44,943.7","45,492.7","40,888.3","117.65K","-4.69%"
"02/01/2024","44,943.7","44,182.9","45,885.4","44,166.0","97.84K","1.72%"
"01/01/2024","44,183.4","42,272.5","44,187.0","42,196.7","36.30K","4.52%"
"31/12/2023","42,272.5","42,141.6","42,878.8","41,971.4","35.58K","0.32%"
"30/12/2023","42,136.7","42,074.7","42,592.2","41,527.3","35.18K","0.15%"
"29/12/2023","42,072.4","42,581.1","43,108.0","41,459.0","60.98K","-1.19%"
"28/12/2023","42,581.1","43,446.5","43,782.6","42,309.3","49.84K","-1.99%"
"27/12/2023","43,446.5","42,514.3","43,676.7","42,115.3","50.10K","2.20%"
"26/12/2023","42,513.3","43,579.9","43,594.9","41,796.6","56.03K","-2.44%"
"25/12/2023","43,578.5","42,982.0","43,792.7","42,745.3","32.67K","1.39%"
"24/12/2023","42,981.5","43,710.4","43,935.7","42,748.5","30.86K","-1.67%"
"23/12/2023","43,710.4","43,968.9","43,994.6","43,325.7","21.29K","-0.59%"
"22/12/2023","43,968.9","43,865.9","44,394.6","43,419.3","44.50K","0.23%"
"21/12/2023","43,865.9","43,660.3","44,241.8","43,310.2","48.96K","0.47%"
"20/12/2023","43,662.8","42,259.5","44,278.7","42,217.2","70.19K","3.32%"
"19/12/2023","42,259.3","42,659.7","43,473.3","41,842.7","55.29K","-0.94%"
