,waiting_list
2019-09-15,2660.9
2019-09-22,2567.4
2019-09-29,2699.4
2019-10-06,2884.2000000000003
2019-10-13,2863.3
2019-10-20,2909.5000000000005
2019-10-27,2835.8
2019-11-03,2910.6000000000004
2019-11-10,3015.1000000000004
2019-11-17,2918.3
2019-11-24,3009.6000000000004
2019-12-01,2982.1000000000004
2019-12-08,2832.5000000000005
2019-12-15,2429.9
2019-12-22,2915.0000000000005
2019-12-29,2733.5
2020-01-05,2674.1000000000004
2020-01-12,2712.6000000000004
2020-01-19,2724.7000000000003
2020-01-26,2709.3
2020-02-02,2600.4
2020-02-09,2833.6000000000004
2020-02-16,2918.3
2020-02-23,2737.9
2020-03-01,2836.9
2020-03-08,2915.0000000000005
2020-03-15,2737.9
2020-03-22,2618.0
2020-03-29,1845.8000000000002
2020-04-05,1348.6000000000001
2020-04-12,1009.8000000000001
2020-04-19,874.5000000000001
2020-04-26,793.1
2020-05-03,864.6
2020-05-10,1024.1000000000001
2020-05-17,1177.0
2020-05-24,1281.5
2020-05-31,1471.8000000000002
2020-06-07,1729.2
2020-06-14,2044.9
2020-06-21,2108.7000000000003
2020-06-28,2227.5
2020-07-05,2389.2000000000003
2020-07-12,2500.3
2020-07-19,2526.7000000000003
2020-07-26,2554.2000000000003
2020-08-02,2643.3
2020-08-09,2594.9
2020-08-16,2679.6000000000004
2020-08-23,2731.3
2020-08-30,2824.8
2020-09-06,2737.9
2020-09-13,2879.8
2020-09-20,2996.4
2020-09-27,3138.3
2020-10-04,3324.2000000000003
2020-10-11,3361.6000000000004
2020-10-18,3379.2000000000003
2020-10-25,3396.8
2020-11-01,3323.1000000000004
2020-11-08,2680.7000000000003
2020-11-15,2752.2000000000003
2020-11-22,2789.6000000000004
2020-11-29,3050.3
2020-12-06,3378.1000000000004
2020-12-13,3499.1000000000004
2020-12-20,3399.0000000000005
2020-12-27,3614.6000000000004
2021-01-03,3410.0000000000005
2021-01-10,3533.2000000000003
2021-01-17,3703.7000000000003
2021-01-24,3944.6000000000004
2021-01-31,3901.7000000000003
2021-02-07,3944.6000000000004
2021-02-14,3943.5000000000005
2021-02-21,4018.3
2021-02-28,4161.3
2021-03-07,4237.200000000001
2021-03-14,4182.200000000001
2021-03-21,4152.5
2021-03-28,3907.2000000000003
2021-04-04,3943.5000000000005
2021-04-11,3698.2000000000003
2021-04-18,3614.6000000000004
2021-04-25,3568.4
2021-05-02,3813.7000000000003
2021-05-09,3786.2000000000003
2021-05-16,3788.4
2021-05-23,3635.5000000000005
2021-05-30,3583.8
2021-06-06,3484.8
2021-06-13,3616.8
2021-06-20,3531.0000000000005
2021-06-27,3565.1000000000004
2021-07-04,3730.1000000000004
2021-07-11,3807.1000000000004
2021-07-18,3608.0000000000005
2021-07-25,3600.3
2021-08-01,3726.8
2021-08-08,3936.9
2021-08-15,4005.1000000000004
2021-08-22,3859.9
2021-08-29,3896.2000000000003
2021-09-05,3752.1000000000004
2021-09-12,3822.5000000000005
2021-09-19,3764.2000000000003
2021-09-26,3863.2000000000003
2021-10-03,3626.7000000000003
2021-10-10,3811.5000000000005
2021-10-17,3852.2000000000003
2021-10-24,3999.6000000000004
2021-10-31,4217.400000000001
2021-11-07,4319.700000000001
2021-11-14,4383.5
2021-11-21,4217.400000000001
2021-11-28,4316.400000000001
2021-12-05,4411.0
2021-12-12,4502.3
2021-12-19,4704.700000000001
2021-12-26,4811.400000000001
2022-01-02,4480.3
2022-01-09,4485.8
2022-01-16,4634.3
2022-01-23,4709.1
2022-01-30,5127.1
2022-02-06,5284.400000000001
2022-02-13,5527.5
2022-02-20,5557.200000000001
2022-02-27,5607.8
2022-03-06,5654.000000000001
2022-03-13,5768.400000000001
2022-03-20,5791.500000000001
2022-03-27,5693.6
2022-04-03,5802.500000000001
2022-04-10,5833.3
2022-04-17,5418.6
2022-04-24,5106.200000000001
2022-05-01,4992.900000000001
2022-05-08,4870.8
2022-05-15,4959.900000000001
2022-05-22,4745.400000000001
2022-05-29,4549.6
2022-06-05,4153.6
2022-06-12,4112.900000000001
2022-06-19,3954.5000000000005
2022-06-26,3837.9
2022-07-03,4098.6
2022-07-10,4263.6
2022-07-17,4158.0
2022-07-24,4011.7000000000003
2022-07-31,3966.6000000000004
2022-08-07,3781.8
2022-08-14,3790.6000000000004
2022-08-21,3577.2000000000003
2022-08-28,3779.6000000000004
2022-09-04,3840.1000000000004
2022-09-11,3936.9
2022-09-18,3993.0000000000005
2022-09-25,3894.0000000000005
2022-10-02,3779.6000000000004
2022-10-09,3807.1000000000004
2022-10-16,3770.8
2022-10-23,3612.4
2022-10-30,3437.5000000000005
2022-11-06,3624.5000000000005
2022-11-13,3734.5000000000005
2022-11-20,3798.3
2022-11-27,3865.4
2022-12-04,3817.0000000000005
2022-12-11,4037.0000000000005
2022-12-18,4079.9000000000005
2022-12-25,3867.6000000000004
2023-01-01,3625.6000000000004
2023-01-08,3617.9
2023-01-15,3524.4
2023-01-22,3626.7000000000003
2023-01-29,3579.4
2023-02-05,3491.4
2023-02-12,3668.5000000000005
2023-02-19,3577.2000000000003
2023-02-26,3674.0000000000005
2023-03-05,3790.6000000000004
2023-03-12,3874.2000000000003
2023-03-19,3719.1000000000004
2023-03-26,3743.3
2023-04-02,3719.1000000000004
2023-04-09,3666.3
2023-04-16,3437.5000000000005
2023-04-23,3382.5000000000005
2023-04-30,3317.6000000000004
2023-05-07,3364.9
2023-05-14,3665.2000000000003
2023-05-21,3763.1000000000004
2023-05-28,3655.3
2023-06-04,3777.4
2023-06-11,4263.6
2023-06-18,4314.200000000001
2023-06-25,4546.3
2023-07-02,4148.1
2023-07-09,4285.6
2023-07-16,4395.6
2023-07-23,4472.6
2023-07-30,4600.200000000001
2023-08-06,4919.200000000001
2023-08-13,4952.200000000001
2023-08-20,4917.0
2023-08-27,5016.0
2023-09-03,5201.900000000001
2023-09-10,5160.1
2023-09-17,5232.700000000001
2023-09-24,5255.8
2023-10-01,5065.5
2023-10-08,5204.1
2023-10-15,5450.5
2023-10-22,5573.700000000001
2023-10-29,5630.900000000001
2023-11-05,5799.200000000001
2023-11-12,5786.000000000001
2023-11-19,5795.900000000001
2023-11-26,5953.200000000001
2023-12-03,5852.000000000001
2023-12-10,5828.900000000001
2023-12-17,5845.400000000001
2023-12-24,5926.8
2023-12-31,5580.3
2024-01-07,5398.8
2024-01-14,5644.1
