,diagnostic_sub_category,diagnostic_description,count_of_diagnostics_id,current_wait_band
0,Barium Enema,Endoscopic US pancreas,1,2
1,Barium Enema,Endoscopic US pancreas,5,19
2,Barium Enema,Endoscopic US pancreas,4,21
3,Barium Enema,Endoscopic US stomach,1,7
4,Cardiac MRI,MRI,2,1
5,Cardiac MRI,MRI,8,2
6,Cardiac MRI,MRI,9,3
7,Cardiac MRI,MRI,1,4
8,Cardiac MRI,MRI,8,5
9,Cardiac MRI,MRI,13,6
10,Cardiac MRI,MRI,4,7
11,Cardiac MRI,MRI,5,8
12,Cardiac MRI,MRI,9,9
13,Cardiac MRI,MRI,3,10
14,Cardiac MRI,MRI,6,11
15,Cardiac MRI,MRI,6,12
16,Cardiac MRI,MRI,3,13
17,Cardiac MRI,MRI,8,14
18,Cardiac MRI,MRI,5,15
19,Cardiac MRI,MRI,9,16
20,Cardiac MRI,MRI,8,17
21,Cardiac MRI,MRI,5,18
22,Cardiac MRI,MRI,1,19
23,Cardiac MRI,MRI,6,20
24,Cardiac MRI,MRI,6,21
25,Cardiac MRI,MRI,4,22
26,Cardiac MRI,MRI,4,23
27,Cardiac MRI,MRI,1,24
28,Cardiac MRI,MRI,7,25
29,Cardiac MRI,MRI,5,26
30,Cardiac MRI,MRI,3,27
31,Cardiac MRI,MRI,6,28
32,Cardiac MRI,MRI,7,29
33,Cardiac MRI,MRI,6,30
34,Cardiac MRI,MRI,2,31
35,Cardiac MRI,MRI,4,32
36,Cardiac MRI,MRI,7,33
37,Cardiac MRI,MRI,2,34
38,Cardiac MRI,MRI,7,35
39,Cardiac MRI,MRI,2,36
40,Cardiac MRI,MRI,7,37
41,Cardiac MRI,MRI,8,38
42,Cardiac MRI,MRI,5,39
43,Cardiac MRI,MRI,6,40
44,Cardiac MRI,MRI,2,41
45,Cardiac MRI,MRI,4,42
46,Cardiac MRI,MRI,3,43
47,Cardiac MRI,MRI,4,45
48,Cardiac MRI,MRI,1,46
49,Cardiac MRI,MRI,5,47
50,Cardiac MRI,MRI,7,48
51,Cardiac MRI,MRI,3,49
52,Cardiac MRI,MRI,11,50
53,Cardiac MRI,MRI,7,51
54,Cardiac MRI,MRI,4,52
55,Cardiac MRI,MRI,6,53
56,Cardiac MRI,MRI,3,54
57,Cardiac MRI,MRI,6,56
58,Cardiac MRI,MRI,4,57
59,Cardiac MRI,MRI,2,58
60,Cardiac MRI,MRI,1,59
61,Cardiac MRI,MRI,11,60
62,Cardiac MRI,MRI,2,61
63,Cardiac MRI,MRI,8,62
64,Cardiac MRI,MRI,5,63
65,Cardiac MRI,MRI,5,64
66,Cardiac MRI,MRI,7,66
67,Cardiac MRI,MRI,3,67
68,Cardiac MRI,MRI,7,69
69,Cardiac MRI,MRI,8,70
70,Cardiac MRI,MRI,7,74
71,Cardiac MRI,MRI,7,76
72,Cardiac MRI,MRI,6,77
73,Cardiac MRI,MRI,3,78
74,Cardiac MRI,MRI,5,79
75,Cardiac MRI,MRI,4,80
76,Cardiac MRI,MRI,6,81
77,Cardiac MRI,MRI,6,82
78,Cardiac MRI,MRI,2,83
79,Cardiac MRI,MRI,1,84
80,Cardiac MRI,MRI,7,86
81,Cardiac MRI,MRI,4,87
82,Cardiac MRI,MRI,4,93
83,Colon,COLON,12,0
84,Colon,COLON,127,1
85,Colon,COLON,130,2
86,Colon,COLON,79,3
87,Colon,COLON,19,4
88,Colon,COLON,18,5
89,Colon,COLON,71,6
90,Colon,COLON,23,7
91,Colon,COLON,31,8
92,Colon,COLON,40,9
93,Colon,COLON,44,10
94,Colon,COLON,43,11
95,Colon,COLON,26,12
96,Colon,COLON,36,13
97,Colon,COLON,26,14
98,Colon,COLON,43,15
99,Colon,COLON,27,16
100,Colon,COLON,36,17
101,Colon,COLON,22,18
102,Colon,COLON,34,19
103,Colon,COLON,31,20
104,Colon,COLON,20,21
105,Colon,COLON,41,22
106,Colon,COLON,32,23
107,Colon,COLON,29,24
108,Colon,COLON,35,25
109,Colon,COLON,49,26
110,Colon,COLON,33,27
111,Colon,COLON,52,28
112,Colon,COLON,28,29
113,Colon,COLON,36,30
114,Colon,COLON,24,31
115,Colon,COLON,32,32
116,Colon,COLON,34,33
117,Colon,COLON,30,34
118,Colon,COLON,39,35
119,Colon,COLON,35,36
120,Colon,COLON,19,37
121,Colon,COLON,22,38
122,Colon,COLON,25,39
123,Colon,COLON,27,40
124,Colon,COLON,18,41
125,Colon,COLON,15,42
126,Colon,COLON,37,43
127,Colon,COLON,33,44
128,Colon,COLON,29,45
129,Colon,COLON,32,46
130,Colon,COLON,29,47
131,Colon,COLON,26,48
132,Colon,COLON,20,49
133,Colon,COLON,29,50
134,Colon,COLON,20,51
135,Colon,COLON,26,52
136,Colon,COLON,27,53
137,Colon,COLON,31,54
138,Colon,COLON,20,55
139,Colon,COLON,15,56
140,Colon,COLON,15,57
141,Colon,COLON,28,58
142,Colon,COLON,23,59
143,Colon,COLON,19,60
144,Colon,COLON,32,61
145,Colon,COLON,28,62
146,Colon,COLON,32,63
147,Colon,COLON,19,64
148,Colon,COLON,18,65
149,Colon,COLON,23,66
150,Colon,COLON,14,67
151,Colon,COLON,13,68
152,Colon,COLON,15,69
153,Colon,COLON,11,70
154,Colon,COLON,8,71
155,Colon,COLON,8,72
156,Colon,COLON,11,73
157,Colon,COLON,12,74
158,Colon,COLON,15,75
159,Colon,COLON,8,76
160,Colon,COLON,11,77
161,Colon,COLON,12,78
