,breaches
2019-09-15,73.7
2019-09-22,45.1
2019-09-29,18.700000000000003
2019-10-06,48.400000000000006
2019-10-13,61.60000000000001
2019-10-20,73.7
2019-10-27,69.30000000000001
2019-11-03,33.0
2019-11-10,48.400000000000006
2019-11-17,50.6
2019-11-24,36.300000000000004
2019-12-01,14.3
2019-12-08,19.8
2019-12-15,40.7
2019-12-22,56.1
2019-12-29,41.800000000000004
2020-01-05,62.7
2020-01-12,56.1
2020-01-19,36.300000000000004
2020-01-26,26.400000000000002
2020-02-02,15.400000000000002
2020-02-09,9.9
2020-02-16,12.100000000000001
2020-02-23,26.400000000000002
2020-03-01,7.700000000000001
2020-03-08,25.3
2020-03-15,52.800000000000004
2020-03-22,49.50000000000001
2020-03-29,12.100000000000001
2020-04-05,12.100000000000001
2020-04-12,17.6
2020-04-19,8.8
2020-04-26,13.200000000000001
2020-05-03,0.0
2020-05-10,5.5
2020-05-17,2.2
2020-05-24,3.3000000000000003
2020-05-31,3.3000000000000003
2020-06-07,11.0
2020-06-14,20.900000000000002
2020-06-21,22.0
2020-06-28,19.8
2020-07-05,12.100000000000001
2020-07-12,25.3
2020-07-19,31.900000000000002
2020-07-26,34.1
2020-08-02,33.0
2020-08-09,59.400000000000006
2020-08-16,85.80000000000001
2020-08-23,84.7
2020-08-30,91.30000000000001
2020-09-06,101.2
2020-09-13,181.50000000000003
2020-09-20,218.9
2020-09-27,245.3
2020-10-04,284.90000000000003
2020-10-11,300.3
2020-10-18,256.3
2020-10-25,212.3
2020-11-01,160.60000000000002
2020-11-08,195.8
2020-11-15,140.8
2020-11-22,113.30000000000001
2020-11-29,125.4
2020-12-06,231.00000000000003
2020-12-13,215.60000000000002
2020-12-20,224.4
2020-12-27,246.40000000000003
2021-01-03,251.90000000000003
2021-01-10,266.20000000000005
2021-01-17,401.50000000000006
2021-01-24,651.2
2021-01-31,819.5000000000001
2021-02-07,935.0000000000001
2021-02-14,953.7
2021-02-21,1144.0
2021-02-28,1205.6000000000001
2021-03-07,1252.9
2021-03-14,1115.4
2021-03-21,943.8000000000001
2021-03-28,788.7
2021-04-04,668.8000000000001
2021-04-11,591.8000000000001
2021-04-18,473.00000000000006
2021-04-25,387.20000000000005
2021-05-02,356.40000000000003
2021-05-09,326.70000000000005
2021-05-16,326.70000000000005
2021-05-23,195.8
2021-05-30,80.30000000000001
2021-06-06,73.7
2021-06-13,134.20000000000002
2021-06-20,113.30000000000001
2021-06-27,74.80000000000001
2021-07-04,100.10000000000001
2021-07-11,150.70000000000002
2021-07-18,103.4
2021-07-25,110.00000000000001
2021-08-01,209.00000000000003
2021-08-08,179.3
2021-08-15,235.4
2021-08-22,269.5
2021-08-29,207.9
2021-09-05,157.3
2021-09-12,151.8
2021-09-19,189.20000000000002
2021-09-26,214.50000000000003
2021-10-03,150.70000000000002
2021-10-10,202.4
2021-10-17,191.4
2021-10-24,242.00000000000003
2021-10-31,303.6
2021-11-07,374.00000000000006
2021-11-14,440.00000000000006
2021-11-21,510.40000000000003
2021-11-28,493.90000000000003
2021-12-05,525.8000000000001
2021-12-12,443.3
2021-12-19,471.90000000000003
2021-12-26,614.9000000000001
2022-01-02,717.2
2022-01-09,896.5000000000001
2022-01-16,947.1
2022-01-23,975.7
2022-01-30,1056.0
2022-02-06,1016.4000000000001
2022-02-13,834.9000000000001
2022-02-20,808.5000000000001
2022-02-27,872.3000000000001
2022-03-06,965.8000000000001
2022-03-13,1114.3000000000002
2022-03-20,1091.2
2022-03-27,1240.8000000000002
2022-04-03,1257.3000000000002
2022-04-10,1251.8000000000002
2022-04-17,1239.7
2022-04-24,1218.8000000000002
2022-05-01,1147.3000000000002
2022-05-08,1105.5
2022-05-15,1058.2
2022-05-22,940.5000000000001
2022-05-29,805.2
2022-06-05,617.1
2022-06-12,487.3
2022-06-19,452.1
2022-06-26,310.20000000000005
2022-07-03,217.8
2022-07-10,246.40000000000003
2022-07-17,233.20000000000002
2022-07-24,192.50000000000003
2022-07-31,152.9
2022-08-07,159.5
2022-08-14,155.10000000000002
2022-08-21,145.20000000000002
2022-08-28,130.9
2022-09-04,138.60000000000002
2022-09-11,148.5
2022-09-18,158.4
2022-09-25,216.70000000000002
2022-10-02,170.5
2022-10-09,220.00000000000003
2022-10-16,166.10000000000002
2022-10-23,154.0
2022-10-30,115.50000000000001
2022-11-06,100.10000000000001
2022-11-13,119.9
2022-11-20,102.30000000000001
2022-11-27,91.30000000000001
2022-12-04,52.800000000000004
2022-12-11,77.0
2022-12-18,90.2
2022-12-25,101.2
